user_id,age,gender,occupation,daily_screen_time_hours,phone_usage_before_sleep_minutes,sleep_duration_hours,sleep_quality_score,stress_level,caffeine_intake_cups,physical_activity_minutes,notifications_received_per_day,mental_fatigue_score
1,56,Female,Designer,3.26,86,5.31,7.72,3.49,0,35,119,3.57
2,46,Female,Teacher,1.85,32,7.36,9.7,3.01,0,16,299,1.91
3,32,Female,Designer,3.04,107,4.5,6.38,5.03,0,17,21,6.05
4,25,Male,Software Engineer,9.0,36,6.68,5.53,10.0,0,3,220,9.92
5,38,Female,Teacher,3.52,56,7.57,6.69,6.71,4,92,167,5.99
6,56,Male,Teacher,7.26,10,7.79,6.16,10.0,2,50,198,7.85
7,36,Female,Teacher,4.56,83,6.81,6.81,5.38,0,19,39,5.52
8,40,Male,Manager,3.36,89,6.5,8.75,3.48,2,66,127,4.5
9,28,Male,Student,2.3,109,7.57,8.05,3.46,3,103,99,2.52
10,28,Female,Manager,9.75,46,4.73,5.52,10.0,3,56,121,10.0
11,41,Male,Designer,5.69,65,7.4,5.78,7.9,1,13,86,7.91
12,53,Female,Designer,2.03,88,8.6,5.79,5.23,0,91,294,3.37
13,57,Male,Designer,2.79,3,7.41,10.0,1.87,3,111,203,1.57
14,41,Male,Student,4.67,82,4.23,4.66,7.93,4,43,286,9.04
15,20,Male,Designer,5.9,76,6.53,5.36,8.09,4,105,104,8.29
16,39,Female,Manager,2.64,82,7.63,7.14,5.35,2,24,80,5.84
17,19,Male,Freelancer,3.5,76,4.22,8.25,4.36,4,63,206,4.57
18,41,Female,Manager,8.05,54,7.81,6.23,6.99,0,1,104,5.75
19,47,Male,Freelancer,4.76,11,5.41,6.82,7.48,3,37,131,5.57
20,55,Male,Teacher,1.01,65,6.94,8.61,2.94,3,77,209,1.97
21,19,Male,Doctor,1.49,36,8.83,7.93,2.64,3,5,143,1.88
22,38,Female,Freelancer,4.95,113,8.97,4.85,8.99,0,47,148,9.36
23,50,Female,Software Engineer,1.54,22,7.17,9.57,1.0,1,87,249,1.0
24,29,Male,Researcher,2.57,54,6.46,6.38,4.73,2,99,45,3.29
25,39,Female,Designer,7.55,18,4.89,6.15,8.95,4,80,136,9.25
26,42,Female,Student,5.32,66,5.04,5.6,6.95,2,27,88,6.83
27,44,Male,Freelancer,5.34,87,6.15,3.71,10.0,2,109,262,8.86
28,59,Female,Student,6.38,22,7.51,6.23,7.26,3,98,67,8.9
29,45,Male,Designer,8.1,3,7.85,6.87,9.62,4,65,232,8.74
30,33,Female,Doctor,2.43,17,5.11,8.77,1.0,2,38,240,1.53
31,32,Female,Manager,2.56,11,6.68,7.34,4.48,3,84,285,4.71
32,20,Male,Designer,2.09,34,6.96,8.54,4.18,0,40,287,4.27
33,54,Male,Student,9.43,26,8.47,3.12,10.0,3,115,136,9.7
34,24,Other,Software Engineer,6.2,42,8.38,8.36,5.59,3,2,148,7.25
35,38,Female,Doctor,1.83,77,8.09,7.94,2.37,0,70,106,1.45
36,26,Female,Researcher,2.99,94,6.58,7.57,4.56,4,0,265,4.96
37,56,Male,Designer,7.53,66,4.33,6.57,8.33,4,48,103,9.11
38,35,Male,Freelancer,1.26,68,5.67,8.39,1.5,4,109,97,1.0
39,21,Male,Software Engineer,7.53,63,7.11,5.33,10.0,1,34,291,10.0
40,42,Male,Researcher,9.2,92,7.19,2.99,10.0,2,34,32,8.11
41,31,Female,Designer,1.51,102,8.25,5.44,7.76,3,48,44,8.22
42,26,Female,Doctor,2.68,51,5.9,7.08,3.92,1,61,153,3.39
43,43,Female,Student,1.02,16,8.68,9.37,1.0,2,15,36,1.0
44,19,Male,Manager,1.98,82,4.82,7.73,1.91,3,64,227,1.31
45,37,Female,Freelancer,6.55,98,4.25,5.36,6.51,4,1,145,9.02
46,45,Female,Manager,1.4,32,4.88,7.55,4.85,0,1,272,4.72
47,24,Female,Doctor,4.83,71,6.31,5.72,6.43,1,66,83,5.68
48,25,Female,Researcher,5.53,51,8.11,7.31,6.43,0,58,170,6.44
49,52,Other,Researcher,9.16,100,4.77,3.95,10.0,4,41,298,8.9
50,31,Female,Teacher,5.27,34,6.74,5.41,9.21,2,98,113,8.57
51,34,Male,Manager,2.28,19,7.88,9.68,1.53,0,31,157,2.08
52,53,Male,Designer,3.6,80,4.17,8.47,4.19,0,15,91,4.41
53,57,Other,Software Engineer,7.05,44,4.21,4.78,9.74,2,108,226,10.0
54,21,Female,Software Engineer,2.01,76,6.45,7.69,4.65,1,48,293,5.48
55,19,Male,Freelancer,3.09,67,4.91,7.12,6.38,1,52,274,5.57
56,23,Male,Manager,9.96,49,6.25,3.07,10.0,3,65,299,8.86
57,59,Female,Doctor,1.05,57,4.22,8.49,3.0,3,36,297,3.65
58,21,Other,Freelancer,2.37,29,8.88,8.71,2.43,4,52,59,1.72
59,46,Male,Doctor,8.59,69,7.27,4.77,10.0,2,50,232,10.0
60,35,Female,Doctor,1.91,1,7.43,10.0,1.0,2,75,234,1.7
61,43,Female,Software Engineer,1.3,78,6.55,7.06,3.94,3,65,244,3.39
62,51,Male,Student,2.09,33,8.12,7.27,3.83,1,87,29,3.83
63,27,Male,Software Engineer,7.24,51,8.17,6.62,9.1,1,1,114,8.88
64,53,Female,Student,9.94,83,4.8,4.61,10.0,3,1,240,8.95
65,31,Female,Freelancer,6.32,15,7.84,4.45,9.38,2,28,172,10.0
66,48,Female,Freelancer,2.12,42,6.83,7.36,4.44,0,65,151,4.97
67,32,Female,Freelancer,2.65,63,7.81,5.83,6.45,0,14,293,7.11
68,25,Male,Doctor,5.84,112,8.59,6.22,6.97,4,105,112,7.96
69,31,Female,Researcher,7.44,92,5.68,5.68,9.92,1,101,225,10.0
70,40,Male,Teacher,6.97,26,6.85,6.03,10.0,2,114,293,10.0
